stop_lat,stop_lon,stop_id,stop_code,stop_name,zone_id,stop_url
41.148740,-8.572540,MERL,MERL,Meiral,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MERL
41.174165,-8.662503,MF1,MF1,Martim Freitas,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MF1
41.141440,-8.614465,MFB2,MFB2,Merc. Ferr. Borges,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MFB2
41.231356,-8.541573,MFOT1,MFOT1,Monforte,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MFOT1
41.231204,-8.541155,MFOT2,MFOT2,Monforte,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MFOT2
41.222014,-8.603671,MFP1,MFP1,M. Ferreira Pinto,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MFP1
41.222236,-8.603749,MFP2,MFP2,M. Ferreira Pinto,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MFP2
41.155048,-8.673343,MFZ1,MFZ1,Mercado Da Foz,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MFZ1
41.154021,-8.673914,MFZ2,MFZ2,Mercado Da Foz,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MFZ2
41.150028,-8.623055,MGB2,MGB2,Miguel Bombarda,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MGB2
41.229735,-8.642387,MGDE1,MGDE1,Monte Grande,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MGDE1
41.229812,-8.642673,MGDE2,MGDE2,Monte Grande,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MGDE2
41.226517,-8.604675,MGOS1,MGOS1,Mogos,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MGOS1
41.226169,-8.604670,MGOS2,MGOS2,Mogos,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MGOS2
41.098505,-8.588748,MIM1,MIM1,Mimosas,VNG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MIM1
41.099873,-8.589595,MIM2,MIM2,Mimosas,VNG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MIM2
41.210861,-8.676361,MIR1,MIR1,Mirão,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MIR1
41.210725,-8.676326,MIR2,MIR2,Mirão,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MIR2
41.177785,-8.619061,MIS3,MIS3,Miosótis,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MIS3
41.178062,-8.618982,MIS4,MIS4,Miosótis,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MIS4
41.130130,-8.631300,MJP1,MJP1,Major Pála,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MJP1
41.130640,-8.631130,MJP2,MJP2,Major Pála,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MJP2
41.169627,-8.632609,MLAM,MLAM,Maria Lamas,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLAM
41.170000,-8.632111,MLAM1,MLAM1,Maria Lamas,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLAM1
41.170028,-8.632250,MLAM2,MLAM2,Maria Lamas,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLAM2
41.169700,-8.634015,MLAM3,MLAM3,Maria Lamas,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLAM3
41.173164,-8.598724,MLAR1,MLAR1,Manuel Laranjeira,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLAR1
41.173195,-8.598956,MLAR2,MLAR2,Manuel Laranjeira,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLAR2
41.159754,-8.683879,MLH1,MLH1,Molhe,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLH1
41.159554,-8.683929,MLH2,MLH2,Molhe,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLH2
41.160158,-8.683185,MLH3,MLH3,Molhe,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLH3
41.159880,-8.681660,MLH5,MLH5,Molhe,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLH5
41.182053,-8.587936,MMAI1,MMAI1,G. Mendes Da Maia,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MMAI1
41.251169,-8.650830,MMAI2,MMAI2,Gonçalo Mendes Maia,MAI2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MMAI2
41.250943,-8.650910,MMAI3,MMAI3,Gonçalo Mendes Maia,MAI2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MMAI3
41.254139,-8.653500,MMAI5,MMAI5,Mira Maia Shopping,MAI2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MMAI5
41.200639,-8.663472,MN1,MN1,Mundo Novo,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MN1
41.201333,-8.661472,MN2,MN2,Mundo Novo,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MN2
41.109916,-8.632476,MNH1,MNH1,Maninho,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MNH1
41.109537,-8.632652,MNH2,MNH2,Maninho,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MNH2
41.110062,-8.632721,MNH3,MNH3,Maninho,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MNH3
41.226233,-8.640049,MNSO1,MNSO1,Manso,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MNSO1
41.227278,-8.640833,MNSO2,MNSO2,Manso,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MNSO2
